Problem type:
least_squares
nparams:
24
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),x(8),x(9),x(10),x(11),x(12),x(13),x(14),x(15),x(16),x(17),x(18),x(19),x(20),x(21),x(22),x(23),objective_function
    10,  2.0716e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854387931268e+00
    11,  2.2735e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855175873994e+00
    12,  2.4880e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855176281493e+00
    13,  2.6878e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.5000001490116119e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855127604220e+00
    14,  2.8871e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855199139715e+00
    15,  3.0843e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855225798299e+00
    16,  3.2599e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854594602908e+00
    17,  3.4466e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0700001490116118e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452859023991126e+00
    18,  3.6312e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854612511143e+00
    19,  3.8667e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855177183600e+00
    20,  4.0542e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855190007478e+00
    21,  4.2421e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452855130338188e+00
    22,  4.4361e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.3452854414191213e+00
    23,  4.6699e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  0.0000000000000000e+00,  1.3452855176151093e+00
    24,  4.8887e+01,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4999999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0699999999999999e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.4901161193847656e-08,  1.3452855176230392e+00
    25,  4.8898e+01,  2.8111852907484569e-01,  1.1165488951398017e-02,  4.8957252388841410e-02, -1.2543320357195761e-01,  1.6065477714647791e-01,  9.5845386228151121e-03, -3.7570062869788550e-04,  2.8736047724296380e-02,  1.9948592292706371e-01, -1.3953394538082755e-02, -3.3186271002679951e-03,  3.5420339719101352e-04,  2.9930321000857912e-01,  1.3556704438158250e-02, -4.7167751561338206e-02,  1.1969446470259640e-01,  1.4959431101729359e-01, -1.1474676538740266e-02,  5.8865019170740356e-04, -3.2157537549986331e-03,  8.5527963950004476e-02, -1.0068596284930998e-02, -7.3155425832168979e-03,  1.0915048417296431e-03,  1.0100000000000000e+27
    26,  5.1129e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361372674020138e-02
    27,  5.3242e+01,  1.7465318329927787e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361367882284074e-02
    28,  5.5370e+01,  1.7465316839811668e-01, -7.6856144962703186e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361370293390722e-02
    29,  5.7322e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150482048583223e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361360259108775e-02
    30,  5.9358e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341271390753025e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361348559993016e-02
    31,  6.1386e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762446501690403e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361274369367109e-02
    32,  6.3446e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3352685363636629e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361397516554307e-02
    33,  6.5549e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5007974134128555e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361374489869484e-02
    34,  6.7662e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166878686058475e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361357399984838e-02
    35,  6.9731e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978773146327392e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361345109128394e-02
    36,  7.2138e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881658514967329e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361388299250137e-02
    37,  7.4233e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3337876370457616e-05, -5.3109395139031334e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361373076116383e-02
    38,  7.6402e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3124296300225181e-05,  1.7445508095843665e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361373429206385e-02
    39,  7.8692e+01,  1.7465316839811668e-01, -7.6855995951091247e-03,  2.5150467147422029e-02, -1.0341256489591831e-02,  1.5762445011574283e-01,  1.3351195247517244e-04, -3.5006484018009171e-04, -1.2166863784897281e-02,  2.6978758245166198e-02,  5.0881509503355390e-03,  5.3322975209263768e-05, -5.3109395139031334e-05,  1.7445509585959784e-01, -7.0976028611034773e-03, -2.4834857952342880e-02,  7.0380808573516562e-03,  1.6198957803531772e-01, -3.1082963132950682e-03, -2.0314921633406900e-04, -2.7480240382368321e-03,  2.2389842564399277e-02,  5.2324536781147533e-03, -9.6159882855187609e-05, -4.6706231102360389e-05,  8.7361368241225132e-02
